Source,Target
383498,209112
383498,155
383498,1924
383498,272
383498,141052
402900,1572
402900,949
402900,75656
402900,772
402900,9654
363088,141052
363088,1924
363088,364
363088,49521
363088,297762
466282,43923
466282,449176
466282,308369
466282,12689
466282,272693
283995,1924
283995,299536
283995,1452
283995,8536
283995,9531
455980,460019
455980,1555
455980,4922
455980,353486
455980,470229
291805,467938
291805,241554
291805,281957
291805,260346
291805,9654
454983,449176
454983,272693
454983,49022
454983,11121
454983,101299
293660,1924
293660,141052
293660,1452
293660,8536
293660,9531
455207,44826
455207,581
455207,8966
455207,222935
455207,281957
177572,479
177572,281957
177572,73
177572,2048
177572,395834
487558,1883
487558,363676
487558,389015
487558,266856
487558,769
98566,272
98566,68721
98566,1930
98566,604
98566,605
400155,49017
400155,7131
400155,277
400155,124905
400155,24021
257344,251516
257344,333339
257344,97
257344,1903
257344,603
808,10882
808,809
808,5393
808,10020
808,150689
437557,376660
437557,12689
437557,391713
437557,80271
420814,318846
420814,371638
420814,396371
420814,389015
420814,425336
181533,44826
181533,863
181533,122
181533,12437
445571,275
445571,270487
445571,473149
445571,309809
445571,264644
150540,11360
150540,12092
150540,812
150540,260513
150540,2300
269149,278927
269149,10315
269149,338970
269149,346364
269149,101299
449176,398818
449176,376867
449176,26280
449176,511785
449176,152584
166426,1865
166426,58
166426,22
166426,285
166426,76285
458423,11224
458423,224141
458423,621
458423,3933
458423,10020
585,62211
585,55721
585,1124
585,339404
585,275
454619,281957
454619,357096
454619,3134
454619,8456
454619,238636
390043,249070
390043,245891
390043,1620
390043,241554
390043,156022
93456,10054
93456,324852
93456,20352
93456,207703
507562,378064
507562,81
507562,14069
507562,9323
507562,8392
502682,451480
502682,5951
502682,448514
502682,125255
339846,205775
339846,2756
339846,152747
339846,228165
339846,11836
301337,604
301337,605
301337,335984
301337,500664
301337,9739
106646,4771
106646,261023
106646,479
106646,398181
106646,400535
608,607
608,395
608,601
608,817
608,840
454283,16314
454283,1562
454283,68718
454283,105
454283,296099
454992,691
454992,206647
454992,954
454992,646
454992,37724
278154,425
278154,17610
278154,49519
278154,18905
278154,387592
474335,2300
474335,13260
474335,489593
474335,66894
474335,114887
203801,691
203801,27576
203801,954
203801,37724
203801,206647
260514,335797
260514,9986
260514,258509
260514,9598
260514,9447
120467,539
120467,97630
120467,311
120467,843
120467,132344
238713,954
238713,955
238713,691
238713,27576
238713,817
18785,298
18785,324668
18785,9029
18785,137093
18785,8065
254470,786
254470,525
254470,354912
254470,6557
57800,425
57800,17610
57800,30505
57800,10567
57800,18905
76492,159824
76492,767
76492,129
76492,671
76492,672
194662,98566
194662,14
194662,155
194662,1927
194662,272
19913,50544
19913,489
19913,398818
19913,38
19913,862
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
391713,398818
391713,376660
391713,376867
391713,84892
391713,11421
400579,277216
400579,433
400579,10054
400579,15584
400579,2758
11631,437557
11631,252
11631,433
11631,109445
11631,2539
335797,9836
335797,9986
335797,258509
335797,9598
225886,87567
225886,12102
225886,11522
225886,49519
225886,376659
518452,11631
518452,437557
518452,258480
518452,39781
518452,297762
82702,10191
82702,10054
82702,425
82702,277216
82702,6637
503619,935
503619,402897
503619,109414
503619,14
503619,419430
50022,4771
50022,26390
50022,9104
50022,11423
50022,193893
88751,351286
88751,11571
88751,70160
88751,2454
88751,120
214756,72105
214756,250546
214756,11249
214756,167032
384677,769
384677,2291
384677,18487
384677,968
384677,10362
399796,325133
399796,8277
399796,10760
399796,49519
399796,114150
920,128
920,364689
920,49013
920,127380
920,77950
412988,927
412988,11899
412988,11176
412988,64328
412988,10895
950,425
950,7840
950,435
950,387893
140300,808
140300,604
