Year,City,Sport,Discipline,Athlete,Country_Code,Country,Gender,Event,Medal,Country_Population,Country_GDP_per_Capita
1984,Los Angeles,Aquatics,Diving,"LI, Kong-Zheng",CHN,China,Men,10M Platform,Bronze,1371220000,8027.68381
1984,Los Angeles,Aquatics,Diving,"LOUGANIS, Gregory",USA,United States,Men,10M Platform,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Diving,"KIMBALL, Bruce D.",USA,United States,Men,10M Platform,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Diving,"WYLAND-WILLIAMS, Wendy Lian",USA,United States,Women,10M Platform,Bronze,321418820,56115.71843
1984,Los Angeles,Aquatics,Diving,"ZHOU, Ji-Hong",CHN,China,Women,10M Platform,Gold,1371220000,8027.68381
1984,Los Angeles,Aquatics,Diving,"MITCHELL, Michele",USA,United States,Women,10M Platform,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Diving,"MERRIOTT, Ronald Marshall",USA,United States,Men,3M Springboard,Bronze,321418820,56115.71843
1984,Los Angeles,Aquatics,Diving,"LOUGANIS, Gregory",USA,United States,Men,3M Springboard,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Diving,"TAN, Liang-De",CHN,China,Men,3M Springboard,Silver,1371220000,8027.68381
1984,Los Angeles,Aquatics,Diving,"SEUFERT, Christina",USA,United States,Women,3M Springboard,Bronze,321418820,56115.71843
1984,Los Angeles,Aquatics,Diving,"BERNIER, Sylvie",CAN,Canada,Women,3M Springboard,Gold,35851774,43248.52991
1984,Los Angeles,Aquatics,Diving,"MCCORMICK, Kelly Anne",USA,United States,Women,3M Springboard,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"WEST, Michael",CAN,Canada,Men,100M Backstroke,Bronze,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"CAREY, Richard John",USA,United States,Men,100M Backstroke,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"WILSON, David Dennis",USA,United States,Men,100M Backstroke,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"DE ROVER, Jolanda",NED,Netherlands,Women,100M Backstroke,Bronze,16936520,44299.76809
1984,Los Angeles,Aquatics,Swimming,"ANDREWS, Theresa",USA,United States,Women,100M Backstroke,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"MITCHELL, Elizabeth",USA,United States,Women,100M Backstroke,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"EVANS, Peter",AUS,Australia,Men,100M Breaststroke,Bronze,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"LUNDQUIST, Steven K.",USA,United States,Men,100M Breaststroke,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"DAVIS, Victor",CAN,Canada,Men,100M Breaststroke,Silver,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"POIROT, Catherine",FRA,France,Women,100M Breaststroke,Bronze,66808385,36205.5681
1984,Los Angeles,Aquatics,Swimming,"VAN STAVEREN, Petra",NED,Netherlands,Women,100M Breaststroke,Gold,16936520,44299.76809
1984,Los Angeles,Aquatics,Swimming,"OTTENBRITE, Anne",CAN,Canada,Women,100M Breaststroke,Silver,35851774,43248.52991
1984,Los Angeles,Aquatics,Swimming,"BUCHANAN, Glenn",AUS,Australia,Men,100M Butterfly,Bronze,23781169,56310.96299
1984,Los Angeles,Aquatics,Swimming,"MORALES, Pablo",USA,United States,Men,100M Butterfly,Silver,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"MEAGHER, Mary T.",USA,United States,Women,100M Butterfly,Gold,321418820,56115.71843
1984,Los Angeles,Aquatics,Swimming,"JOHNSON, Jenna Leigh",USA,United States,Women,100M Butterfly,Silver,321418820,56115.71843
