Overall Rank,Name,Nationality,Apparatus,Total Score
,,,,
1,Xiao Ruoteng,CHN,Floor,14.43 
,,,Pommel Horse,14.80 
,,,Rings,13.80 
,,,Vault,14.90 
,,,PBars,14.60 
,,,High Bar,14.40 
2,Lin Chaopan,CHN,Floor,14.52 
,,,Pommel Horse,14.27 
,,,Rings,13.67 
,,,Vault,14.90 
,,,PBars,14.80 
,,,High Bar,14.30 
3,Kenzo Shirai,JPN,Floor,15.73 
,,,Pommel Horse,13.43 
,,,Rings,13.67 
,,,Vault,15.00 
,,,PBars,14.63 
,,,High Bar,13.97 
4,David Belyavskiy,RUS,Floor,14.07 
,,,Pommel Horse,14.90 
,,,Rings,14.10 
,,,Vault,14.78 
,,,PBars,15.27 
,,,High Bar,13.20 
5,Manrique Larduet,CUB,Floor,13.93 
,,,Pommel Horse,13.73 
,,,Rings,14.13 
,,,Vault,14.97 
,,,PBars,14.93 
,,,High Bar,14.33 
6,Nile Wilson,GBR,Floor,14.33 
,,,Pommel Horse,13.67 
,,,Rings,14.30 
,,,Vault,14.10 
,,,PBars,14.50 
,,,High Bar,14.43 
7,Yul Moldauer,USA,Floor,14.57 
,,,Pommel Horse,14.00 
,,,Rings,14.07 
,,,Vault,14.50 
,,,PBars,14.53 
,,,High Bar,13.33 
8,Oleg Verniaiev,UKR,Floor,13.77 
,,,Pommel Horse,13.33 
,,,Rings,14.57 
,,,Vault,14.83 
,,,PBars,14.97 
,,,High Bar,12.53 
9,Ahmet Onder,TUR,Floor,14.13 
,,,Pommel Horse,12.93 
,,,Rings,13.83 
,,,Vault,14.53 
,,,PBars,14.93 
,,,High Bar,13.47 
10,Nikita Nagornyy,RUS,Floor,14.50 
,,,Pommel Horse,13.87 
,,,Rings,14.47 
,,,Vault,14.80 
,,,PBars,14.54 
,,,High Bar,11.07 
11,Jo Calvo Moreno,COL,Floor,13.87 
,,,Pommel Horse,13.80 
,,,Rings,13.33 
,,,Vault,13.87 
,,,PBars,14.60 
,,,High Bar,13.57 
12,Pablo Braegger,SUI,Floor,14.23 
,,,Pommel Horse,13.27 
,,,Rings,13.60 
,,,Vault,14.43 
,,,PBars,12.70 
,,,High Bar,14.50 
13,Artur Davtyan,ARM,Floor,13.33 
,,,Pommel Horse,13.40 
,,,Rings,14.20 
,,,Vault,14.90 
,,,PBars,13.77 
,,,High Bar,12.73 
14,Garam Bae,KOR,Floor,13.00 
,,,Pommel Horse,13.53 
,,,Rings,12.87 
,,,Vault,14.13 
,,,PBars,13.60 
,,,High Bar,13.40 
15,Caio Souza,BRA,Floor,13.90 
,,,Pommel Horse,11.57 
,,,Rings,14.17 
,,,Vault,14.50 
,,,PBars,14.27 
,,,High Bar,12.13 
16,Marios Georgiou,CYP,Floor,12.50 
,,,Pommel Horse,12.30 
,,,Rings,13.50 
,,,Vault,14.00 
,,,PBars,14.10 
,,,High Bar,13.83 
17,Robert Tvorogal,LTU,Floor,12.90 
,,,Pommel Horse,12.87 
,,,Rings,13.13 
,,,Vault,13.90 
,,,PBars,14.10 
,,,High Bar,13.33 
18,Philipp Herder,GER,Floor,14.13 
,,,Pommel Horse,12.83 
,,,Rings,13.50 
,,,Vault,13.00 
,,,PBars,14.10 
,,,High Bar,12.60 
19,Eddy Yusof,SUI,Floor,13.57 
,,,Pommel Horse,11.63 
,,,Rings,13.77 
,,,Vault,13.43 
,,,PBars,14.37 
,,,High Bar,13.40 
20,Ferhat Arican,TUR,Floor,11.73 
,,,Pommel Horse,13.53 
,,,Rings,12.90 
,,,Vault,14.27 
,,,PBars,14.68 
,,,High Bar,12.93 
21,Zachary Clay,CAN,Floor,13.13 
,,,Pommel Horse,13.57 
,,,Rings,13.10 
,,,Vault,14.10 
,,,PBars,13.10 
,,,High Bar,12.90 
22,Tomas Kuzmickas,LTU,Floor,14.27 
,,,Pommel Horse,12.87 
,,,Rings,11.70 
,,,Vault,13.87 
,,,PBars,13.63 
,,,High Bar,13.33 
23,Kevin Cerda,MEX,Floor,13.33 
,,,Pommel Horse,12.27 
,,,Rings,12.40 
,,,Vault,13.73 
,,,PBars,12.37 
,,,High Bar,12.83 
24,Joel Plata Rodriguez,SP,Floor,13.67 
,,,Pommel Horse,10.63 
,,,Rings,13.50 
,,,Vault,13.63 
,,,PBars,13.40 
,,,High Bar,11.87 
