Id,Title,Year,Runtime,Country,imdbRating,imdbVotes,Budget,Gross,WinsNoms,IsGoodRating
13,Alone in the Dark,2005,96,"Canada, Germany, USA",2.3,37613,20000000,8178569,9,0
38,Boogeyman,2005,89,"USA, New Zealand, Germany",4.1,25931,20000000,67192859,0,0
52,Constantine,2005,121,"USA, Germany",6.9,236091,75000000,221594911,11,1
62,Diary of a Mad Black Woman,2005,116,USA,5.6,10462,5500000,50458356,26,0
83,Fever Pitch,2005,104,"USA, Germany",6.2,36198,40000000,50071069,9,1
86,Forty Shades of Blue,2005,108,USA,6,1135,1500000,172569,3,1
94,Guess Who,2005,105,USA,5.9,33846,35000000,102115888,16,1
103,Hide and Seek,2005,101,"USA, Germany",5.9,70185,25000000,123696741,6,0
105,Hitch,2005,118,USA,6.6,244830,55000000,366784257,28,1
108,House of Wax,2005,108,"Australia, USA",5.3,94338,35000000,70064800,15,0
153,Monster-in-Law,2005,101,"Germany, USA",5.5,43005,45000000,155931301,11,0
247,Wolf Creek,2005,99,Australia,6.3,55818,1100000,29005064,27,1
265,50 First Dates,2004,99,USA,6.8,264192,75000000,196324496,15,1
285,Against the Ropes,2004,111,"USA, Germany",5.3,5890,39000000,6429865,0,0
294,Alfie,2004,103,"UK, USA",6.2,43411,40000000,35195939,13,1
301,Along Came Polly,2004,90,USA,5.9,106798,42000000,173044410,9,0
315,Anacondas: The Hunt for the Blood Orchid,2004,97,USA,4.6,22226,25000000,70326393,1,0
361,Before Sunset,2004,80,USA,8,168562,20000000,11293790,37,1
378,Birth,2004,100,"USA, UK, Germany, France",6.1,29625,20000000,14603001,19,1
396,Bobby Jones: Stroke of Genius,2004,120,USA,6.7,3199,17000000,2694071,1,0
408,Breakin' All the Rules,2004,85,USA,5.5,4251,9000000,12512317,6,0
490,Club Dread,2004,104,USA,5.6,23731,8500000,7573551,0,0
549,Dawn of the Dead,2004,101,"USA, Canada, Japan, France",7.4,194266,28000000,103452875,17,1
610,Drive Me Crazy,1999,91,USA,5.7,14899,8000000,22591451,1,0
634,Employee of the Month,2006,103,USA,5.5,37721,10000000,38364855,2,0
647,Eternal Sunshine of the Spotless Mind,2004,108,USA,8.3,664819,20000000,73135439,171,1
659,Exorcist: The Beginning,2004,114,USA,5.1,28634,78000000,43957541,4,0
733,Garden State,2004,102,USA,7.6,187696,2500000,36028802,50,1
759,Godsend,2004,102,"USA, Canada",4.8,22453,30000000,16910708,0,0
761,Going the Distance,2010,102,USA,6.3,50457,32000000,43603990,0,1
801,Hellboy,2004,122,USA,6.8,244595,60000000,99823958,25,1
878,Incident at Loch Ness,2004,94,UK,6.6,3298,1400000,56073,1,1
902,Jersey Girl,2004,102,USA,6.2,54393,35000000,37066129,7,1
966,Laws of Attraction,2004,90,"Ireland, UK, Germany",5.9,18771,32000000,29948322,2,0
990,Little Black Book,2004,111,USA,5.2,15002,30000000,21758371,1,0
1039,Meet the Fockers,2004,115,USA,6.3,210990,60000000,516567575,8,1
1263,Raise Your Voice,2004,103,USA,5.9,22611,15000000,14811980,5,0
1264,Raising Helen,2004,119,USA,6,30890,50000000,43340302,1,0
1280,Resident Evil: Apocalypse,2004,94,"Germany, France, UK, Canada, USA",6.2,151571,50000000,125168734,5,0
1330,Saw,2004,103,USA,7.7,298520,1200000,103880027,18,1
1349,Seed of Chucky,2004,87,"Romania, USA, UK",4.9,28576,29000000,24716190,7,0
1365,Shaun of the Dead,2004,99,"UK, France",8,395430,50000000,30332385,33,1
1396,Sleepover,2004,89,USA,5.3,12682,10000000,9408183,4,0
1414,Spanglish,2004,131,USA,6.5,65659,75000000,54344321,16,1
1571,Veer-Zaara,2004,192,India,7.9,34297,7000000,7017859,50,1
1607,Welcome to Mooseport,2004,110,"USA, Germany",5.2,10617,26000000,14469428,0,0
1621,Wicker Park,2004,114,USA,7,44916,30000000,21601257,1,0
1625,Wimbledon,2004,98,"UK, France, USA",6.3,51836,35000000,41666476,1,1
1626,Win a Date with Tad Hamilton!,2004,95,USA,5.6,22878,24000000,16980098,8,1
1708,Alex & Emma,2003,96,USA,5.6,11515,30000000,15358583,1,0
1717,All the Real Girls,2003,108,USA,6.9,9241,1000000,703020,14,1
1723,American Wedding,2003,96,"USA, Germany",6.3,162158,55000000,126425115,9,1
1738,Anything Else,2003,108,"USA, France, UK",6.4,25129,18000000,13203044,0,1
1801,Beyond Borders,2003,127,"USA, Germany",6.5,22552,60000000,11427090,2,0
1902,Chasing Papi,2003,80,USA,4.8,3415,9000000,12657377,1,0
1983,Darkness Falls,2003,86,"USA, Australia",4.9,25841,7000000,47289758,3,0
2043,Dreamcatcher,2003,134,USA,5.5,75441,68000000,75685268,4,0
2114,Final Destination 2,2003,90,"USA, Canada",6.2,120780,26000000,90396664,4,0
2150,From Justin to Kelly,2003,81,USA,2.1,23601,12000000,4922166,17,0
2211,Gothika,2003,98,USA,5.8,89384,40000000,141484812,10,0
2213,Grace,2009,84,"USA, Canada",5.2,6729,5000000,8297,7,1
2214,Graduation Day,1981,96,USA,4.5,1870,250000,23894000,0,1
2270,Honey,2003,94,USA,5.3,36623,18000000,62646763,8,0
2275,Hope Springs,2012,100,USA,6.3,34343,30000000,133085295,6,1
2285,How to Deal,2003,101,USA,5.7,8206,16000000,14108518,0,0
2286,How to Lose a Guy in 10 Days,2003,116,"USA, Germany",6.4,157096,50000000,178890782,9,0
2332,Intolerable Cruelty,2003,100,USA,6.3,76425,60000000,121327628,3,1
2348,Jeepers Creepers II,2003,104,USA,5.6,45206,25000000,119923801,5,0
2466,Love Actually,2003,135,"UK, USA, France",7.7,318320,45000000,247967903,38,1
2580,My Boss's Daughter,2003,86,USA,4.6,24067,14000000,15549702,4,0
2672,Open Range,2003,139,USA,7.5,54070,26000000,68613992,5,1
2682,Ouija,2014,89,USA,4.4,31793,5000000,103590271,1,0
2872,Sex Drive,2008,109,USA,6.5,72709,19000000,10412485,0,1
2926,Something's Gotta Give,2003,128,USA,6.7,90966,80000000,266685242,20,1
3017,The Texas Chainsaw Massacre: The Beginning,2006,91,USA,5.9,56154,16000000,50517763,5,0
3095,Under the Tuscan Sun,2003,113,"USA, Italy",6.7,35659,18000000,57490024,5,1
3133,What Women Want,2000,127,USA,6.4,158488,65000000,374105123,13,1
3162,Willard,2003,100,"Canada, USA",6.2,15104,20000000,6882696,5,1
3221,40 Days and 40 Nights,2002,96,"USA, UK, France",5.6,62185,17000000,95092667,3,0
3233,About a Boy,2002,101,"UK, USA, France, Germany",7.1,143919,27000000,130759651,40,1
3389,Blue Crush,2002,104,"USA, Germany",5.6,26046,30000000,51618420,8,0
3416,Brown Sugar,2002,109,USA,6.5,5963,8000000,28315272,20,1
3596,Drumline,2002,118,USA,5.7,28647,20000000,56398162,12,1
3611,Eight Legged Freaks,2002,99,USA,5.4,43717,30000000,36722311,1,1
3700,Frida,2002,123,"USA, Canada, Mexico",7.4,61488,12000000,56131239,58,1
3708,Full Frontal,2002,101,USA,4.7,8645,2000000,3438804,1,1
3727,Ghost Ship,2002,91,"USA, Australia",5.5,75785,20000000,68349884,1,0
3759,Halloween: Resurrection,2002,94,USA,4.1,26887,15000000,37659652,1,0
3790,Hollywood Ending,2002,112,USA,6.6,21598,16000000,14839383,1,1
3886,Juwanna Mann,2002,91,USA,4.5,5315,15600000,13771817,1,0
4007,Maid in Manhattan,2002,105,USA,5.1,68316,55000000,163838217,8,1
4041,Men with Brooms,2002,102,Canada,6,3707,7500000,4239767,10,1
4064,Moonlight Mile,2002,117,USA,6.7,12001,21000000,6830957,7,1
4074,Mr. Deeds,2002,96,USA,5.8,110306,50000000,171269535,11,0
4088,My Big Fat Greek Wedding,2002,95,"USA, Canada",6.6,101911,5000000,374890034,48,1
4245,Punch-Drunk Love,2002,95,USA,7.3,109852,25000000,24591031,49,1
4251,Queen of the Damned,2002,101,"USA, Australia",5.2,44014,35000000,30307804,7,0
4293,Resident Evil,2002,100,"UK, Germany, France, USA",6.7,198632,35000000,103787401,6,0
4374,Secretary,2002,104,USA,7.1,67908,4000000,9413956,41,1
4382,Serving Sara,2002,99,"Germany, USA",5.3,14350,29000000,20146150,0,0
4418,Slackers,2002,86,"Canada, USA",5.3,12426,11000000,4814244,0,0
4432,Solaris,2002,99,USA,6.2,67494,47000000,14970038,13,1
4493,Sunshine State,2002,141,USA,6.9,3426,5600000,3281898,10,1
4501,Sweet Home Alabama,2002,108,USA,6.1,83759,38000000,182365114,9,1
4503,Swept Away,2002,89,"UK, Italy",3.6,13164,10000000,598645,13,0
4584,Tuck Everlasting,2002,90,USA,6.7,17977,15000000,19344615,4,1
4591,Two Weeks Notice,2002,101,"USA, Australia",6.1,85533,60000000,199043309,4,1
4793,America's Sweethearts,2001,102,USA,5.7,47523,46000000,160648493,2,0
4848,Baby Boy,2001,130,USA,6.4,9586,16000000,28734552,15,1
4924,Bound,1996,108,USA,7.4,41078,4500000,7011317,18,1
4933,Bridget Jones's Diary,2001,97,"UK, France, USA, Ireland",6.7,171850,25000000,281527158,38,1
4940,Bubble Boy,2001,84,USA,5.6,25502,13000000,5002310,1,0
4960,Captain Corelli's Mandolin,2001,131,"UK, France, USA",5.9,28131,57000000,62097495,7,0
5040,Dark Water,2005,105,USA,5.5,44915,60000000,49473093,5,1
