Sorcerer's Stone,Chamber of Secrets,Prisoner of Azkaban,Goblet of Fire,Order of the Phoenix,Half Blood Prince,Deathly Hallows,SpellType,House
13,5,9,54,27,37,75,Charm,Gryffindor
24,23,3,38,35,22,98,Healing Spell,Gryffindor
5,6,17,16,23,19,36,Hex,Gryffindor
3,34,5,74,56,68,105,Counter Spell,Gryffindor
17,12,12,29,20,42,67,Jinx,Gryffindor
1,3,25,9,40,39,42,Curse,Gryffindor
12,23,25,19,45,23,59,Transfiguration,Gryffindor
7,6,20,41,31,25,62,Conjuration,Gryffindor
17,12,33,54,29,48,23,Charm,Hufflepuff
13,10,17,30,7,41,38,Healing Spell,Hufflepuff
5,4,21,29,22,29,2,Hex,Hufflepuff
0,2,31,35,11,49,45,Counter Spell,Hufflepuff
2,2,7,18,11,9,19,Jinx,Hufflepuff
5,0,9,5,16,63,6,Curse,Hufflepuff
5,13,19,78,13,28,43,Transfiguration,Hufflepuff
19,40,0,18,14,45,28,Conjuration,Hufflepuff
9,9,12,48,7,27,18,Charm,Ravenclaw
12,3,10,28,21,39,12,Healing Spell,Ravenclaw
2,7,12,41,12,10,9,Hex,Ravenclaw
5,10,65,24,16,65,14,Counter Spell,Ravenclaw
12,45,23,33,15,7,20,Jinx,Ravenclaw
1,8,20,12,37,34,8,Curse,Ravenclaw
0,10,9,82,12,16,19,Transfiguration,Ravenclaw
18,3,0,10,4,3,52,Conjuration,Ravenclaw
6,0,17,26,11,17,4,Charm,Slytherin
25,0,27,16,30,52,45,Healing Spell,Slytherin
28,2,20,43,82,12,27,Hex,Slytherin
12,72,22,32,95,43,78,Counter Spell,Slytherin
5,25,24,18,39,28,89,Jinx,Slytherin
6,18,44,76,19,78,102,Curse,Slytherin
24,9,7,15,28,31,74,Transfiguration,Slytherin
12,32,11,44,18,3,56,Conjuration,Slytherin
,,,,,,,,
,,,,,,,,
