id,qualified_professionals,high_school,middle_school_or_lower
1000,"64,767,787","58,820,411","27,818,380"
1001,"783,076","1,009,593","496,036"
1003,"8,968","12,519","4,528"
1005,"41,350","40,154","13,956"
1007,"2,366","6,422","4,824"
1009,"1,890","6,586","3,040"
1011,"5,151","13,003","7,882"
1013,752,"2,504","2,452"
1015,"2,243","5,559","2,642"
1017,"13,886","25,228","13,894"
1019,"2,978","9,401","4,708"
1021,"2,610","6,722","3,499"
1023,"4,417","12,267","5,918"
1025,"1,130","3,520","1,998"
1027,"2,066","7,680","3,227"
1029,"1,045","3,266","2,398"
1031,"1,195","3,936","2,676"
1033,"8,192","10,157","5,145"
1035,"7,069","13,337","6,344"
1037,763,"4,070","1,812"
1039,786,"2,873","2,140"
1041,"3,953","9,115","5,051"
1043,"1,399","3,680","2,071"
1045,"8,431","19,784","10,050"
1047,"5,361","11,033","4,726"
1049,"3,727","9,857","5,673"
1051,"5,392","16,259","12,981"
1053,"12,220","19,476","7,238"
1055,"2,995","11,189","5,035"
1057,"11,824","23,334","12,582"
1059,"1,670","4,609","2,452"
1061,"2,593","7,678","5,092"
1063,"2,193","6,762","4,196"
1065,595,"2,444","1,375"
1067,"1,435","4,377","1,903"
1069,"1,973","4,417","2,359"
1071,"14,875","22,738","10,684"
1073,"4,669","15,270","7,615"
1075,"140,254","118,111","49,094"
1077,"1,306","3,536","2,258"
1079,"13,690","21,850","9,559"
1081,"2,415","9,340","5,261"
1083,"31,005","22,109","10,170"
1085,"14,430","19,841","10,449"
1087,880,"2,699","1,805"
1089,"2,488","3,874","2,425"
1091,"96,340","49,507","21,757"
1093,"2,023","5,505","2,208"
1095,"2,685","7,533","4,331"
1097,"10,498","20,210","13,557"
1099,"61,885","89,494","39,097"
1101,"1,846","6,713","2,676"
1103,"47,212","38,102","21,741"
1105,"17,579","24,668","14,363"
1107,861,"2,348","1,403"
1109,"1,566","5,623","2,662"
1111,"4,706","6,411","3,932"
1113,"2,399","5,678","3,547"
1115,"6,562","12,020","6,726"
